transaction_id,order_id,amount,occurred_at
txn_114,ord_114,289.54,2025-02-13T18:07:17
txn_115,ord_115,288.59,2025-02-03T11:51:41
txn_116,ord_116,346.14,2025-02-20T19:46:05
txn_117,ord_117,230.31,2025-01-16T23:01:51
txn_118,ord_118,92.66,2025-02-02T05:45:38
txn_119,ord_119,190.23,2025-02-10T09:16:40
txn_120,ord_120,140.84,2025-01-14T23:26:39
txn_121,ord_121,231.84,2025-02-23T01:20:10
txn_122,ord_122,148.85,2025-01-23T12:41:45
txn_123,ord_123,104.97,2025-02-19T03:13:34
txn_124,ord_124,261.89,2025-01-16T13:42:54
txn_125,ord_125,238.65,2025-02-16T16:05:25
