order_id,customer_id,performance_id,currency,subtotal,fees,total,status,placed_at
mo_1,MC-1001,mp_1,GBP,£120.00,£8.00,£128.00,paid,2025-01-08T10:15:00
mo_2,MC-1002,mp_1,GBP,95.00,6.50,101.50, Paid ,2025-01-09T11:00:00
mo_3,MC-1003,mp_9,EUR,"95,00 €","6,00 €","101,00 €",PAID,2025-01-20T09:30:00
mo_4,MC-1004,mp_4,GBP,£140.00,£9.50,£149.50,paid,2025-01-05T14:00:00
mo_5,MC-1005,mp_9,EUR,110.00,7.00,117.00,paid,2025-01-22T16:45:00
mo_6,MC-1006,mp_2,GBP,£130.00,£8.50,£138.50,paid,2025-01-14T09:00:00
mo_7,MC-1007,mp_5,GBP,105.00,7.00,112.00,paid,2025-01-16T10:20:00
mo_8,MC-1008,mp_6,GBP,£99.00,£6.50,£105.50, refunded ,2025-01-24T15:10:00
mo_9,MC-1009,mp_7,GBP,150.00,10.00,160.00,paid,2025-01-30T18:00:00
mo_10,MC-1010,mp_8,GBP,£112.00,£7.50,£119.50,PARTIAL_REFUND,2025-02-02T12:00:00
mo_11,MC-1011,mp_9,EUR,"120,00 €","8,00 €","128,00 €",paid,2025-02-04T09:45:00
mo_12,MC-1012,mp_10,EUR,105.00,7.00,112.00,paid,2025-02-06T11:15:00
mo_13,MC-1013,mp_11,GBP,£118.00,£8.00,£126.00,paid,2025-01-13T13:30:00
mo_14,MC-1014,mp_12,GBP,122.00,8.00,130.00,Paid,2025-01-20T15:50:00
mo_15,MC-1001,mp_3,GBP,£135.00,£9.00,£144.00,paid,2025-01-22T10:05:00
mo_16,MC-1016,mp_2,GBP,£128.00,£8.50,£136.50,paid,2025-01-15T09:20:00
mo_17,MC-1002,mp_5,GBP,99.00,6.50,105.50, cancelled ,2025-01-18T08:40:00
mo_18,MC-1015,mp_6,SEK,"1050,00 kr","70,00 kr","1120,00 kr",paid,2025-01-27T10:00:00
mo_19,MC-1003,mp_10,EUR,100.00,6.50,106.50,paid,2025-02-09T14:20:00
mo_20,,mp_7,GBP,50.00,0.00,50.00,paid,2025-02-01T20:00:00
mo_21,MC-1013,,GBP,25.00,0.00,25.00,paid,2025-01-29T09:00:00
