performance_id,event_id,starts_at_local,utc_offset_minutes,doors_at_local
mp_1,me_starlight,2025-01-10 19:30:00,0,2025-01-10 18:45:00
mp_2,me_starlight,2025-01-17 19:30:00,0,2025-01-17 18:45:00
mp_3,me_starlight,2025-01-24 14:30:00,0,2025-01-24 13:45:00
mp_4,me_windrose,2025-01-12 20:00:00,0,2025-01-12 19:15:00
mp_5,me_windrose,2025-01-19 20:00:00,0,2025-01-19 19:15:00
mp_6,me_windrose,2025-01-26 15:00:00,0,2025-01-26 14:15:00
mp_7,me_comedy_night,2025-02-01 20:30:00,60,2025-02-01 19:45:00
mp_8,me_comedy_night,2025-02-08 20:30:00,0,2025-02-08 19:45:00
mp_9,me_midnight_opera,2025-02-05 19:00:00,60,2025-02-05 18:15:00
mp_10,me_midnight_opera,2025-02-12 19:00:00,60,2025-02-12 18:15:00
mp_11,me_folk_tales,2025-01-15 19:30:00,0,2025-01-15 18:45:00
mp_12,me_folk_tales,2025-01-22 19:30:00,0,2025-01-22 18:45:00
