order_id,account_id,showtime_id,created_at,total_amount
ord_1,acc_6,st_evt_wicked_4,2025-02-25T17:24:15,101.63
ord_2,acc_8,st_evt_hamilton_26,2025-01-07T22:52:55,320.38
ord_3,acc_20,st_evt_wicked_6,2025-01-25T07:33:39,237.59
ord_4,acc_9,st_evt_wicked_14,2025-02-08T20:15:30,164.83
ord_5,acc_5,st_evt_lion_king_43,2025-02-07T10:32:13,203.45
ord_6,acc_3,st_evt_wicked_1,2025-01-27T13:56:00,349.58
ord_7,acc_3,st_evt_hamilton_35,2025-01-13T08:42:38,151.60
ord_8,acc_3,st_evt_wicked_16,2025-01-22T10:22:54,122.59
ord_9,acc_10,st_evt_lion_king_40,2025-02-27T01:31:25,297.92
ord_10,acc_18,st_evt_hamilton_20,2025-02-24T01:00:15,107.97
ord_11,acc_9,st_evt_wicked_8,2025-02-21T14:28:48,$280.45
ord_12,acc_7,st_evt_lion_king_46,2025-01-20T21:17:21,265.62
ord_13,acc_17,st_evt_hamilton_32,2025-01-15T13:33:38,325.20
ord_14,acc_9,st_evt_wicked_3,2025-01-01T04:56:08,288.20
ord_15,acc_9,st_evt_wicked_11,2025-02-12T23:47:36,228.95
ord_16,acc_1,st_evt_wicked_8,2025-01-05T08:44:22,318.44
ord_17,acc_18,st_evt_wicked_3,2025-02-18T09:45:22,$237.28
ord_18,acc_10,st_evt_hamilton_24,2025-02-22T03:22:56,294.95
ord_19,acc_12,st_evt_wicked_14,2025-02-09T13:26:12,260.07
ord_20,acc_18,st_evt_hamilton_27,2025-02-26T11:34:52,282.36
ord_21,acc_8,st_evt_wicked_11,2025-02-26T14:52:43,298.91
ord_22,acc_1,st_evt_wicked_12,2025-02-12T17:17:51,169.69
ord_23,acc_8,st_evt_wicked_18,2025-01-10T05:36:12,269.35
ord_24,acc_2,st_evt_hamilton_31,2025-01-13T21:37:39,300.48
ord_25,acc_10,st_evt_wicked_15,2025-01-13T22:18:34,258.21
ord_26,acc_9,st_evt_wicked_5,2025-02-26T01:54:34,155.36
ord_27,acc_13,st_evt_lion_king_44,2025-02-26T21:45:37,224.78
ord_28,acc_4,st_evt_wicked_17,2025-01-11T08:33:59,339.88
ord_29,acc_4,st_evt_lion_king_39,2025-01-26T04:54:45,276.71
ord_30,acc_20,st_evt_hamilton_33,2025-01-07T16:58:44,$322.87
ord_31,acc_14,st_evt_wicked_1,2025-01-31T03:43:44,297.76
ord_32,acc_7,st_evt_hamilton_24,2025-01-26T00:21:57,336.20
ord_33,acc_20,st_evt_hamilton_21,2025-02-08T11:26:07,113.65
ord_34,acc_17,st_evt_hamilton_20,2025-02-08T16:18:53,168.07
ord_35,acc_18,st_evt_wicked_9,2025-01-12T03:02:29,259.53
ord_36,acc_6,st_evt_lion_king_40,2025-02-03T00:11:40,189.64
ord_37,acc_10,st_evt_hamilton_19,2025-01-13T04:34:27,292.15
ord_38,acc_11,st_evt_hamilton_30,2025-01-26T14:57:58,262.42
ord_39,acc_6,st_evt_lion_king_43,2025-01-05T22:02:07,219.17
ord_40,acc_11,st_evt_wicked_6,2025-02-17T11:14:43,282.81
ord_41,acc_8,st_evt_wicked_13,2025-01-09T13:07:00,92.48
ord_42,acc_20,st_evt_lion_king_50,2025-01-05T05:22:36,191.90
ord_43,acc_7,st_evt_lion_king_46,2025-02-10T09:19:30,213.48
ord_44,acc_1,st_evt_lion_king_49,2025-02-19T21:43:59,319.08
ord_45,acc_8,st_evt_wicked_12,2025-02-16T15:19:15,267.90
ord_46,acc_18,st_evt_wicked_16,2025-02-23T05:07:05,$112.77
ord_47,acc_17,st_evt_hamilton_36,2025-02-04T12:52:10,336.51
ord_48,acc_20,st_evt_lion_king_47,2025-02-21T17:41:32,195.22
ord_49,acc_15,st_evt_wicked_11,2025-02-13T03:10:06,208.16
ord_50,acc_8,st_evt_lion_king_41,2025-01-17T02:01:02,289.97
ord_51,acc_8,st_evt_wicked_18,2025-01-26T12:18:09,$272.66
ord_52,acc_18,st_evt_wicked_6,2025-01-09T00:37:00,142.44
ord_53,acc_7,st_evt_wicked_5,2025-01-25T01:29:45,169.34
ord_54,acc_2,st_evt_wicked_14,2025-02-18T07:23:04,185.16
ord_55,acc_1,st_evt_lion_king_49,2025-02-03T09:21:39,208.78
ord_56,acc_10,st_evt_lion_king_49,2025-01-23T14:51:41,320.74
ord_57,acc_18,st_evt_lion_king_48,2025-02-12T14:36:38,295.96
ord_58,acc_16,st_evt_wicked_15,2025-01-16T19:55:33,211.12
ord_59,acc_13,st_evt_lion_king_47,2025-01-10T13:44:32,206.20
ord_60,acc_1,st_evt_hamilton_26,2025-02-04T07:54:53,$259.01
ord_61,acc_15,st_evt_wicked_12,2025-01-03T21:59:46,$182.36
ord_62,acc_13,st_evt_wicked_18,2025-02-13T14:47:51,304.62
ord_63,acc_3,st_evt_hamilton_31,2025-01-02T02:58:53,225.64
ord_64,acc_12,st_evt_wicked_15,2025-02-07T17:00:02,290.93
ord_65,acc_1,st_evt_wicked_16,2025-01-12T13:30:36,$85.50
